Date,Open,High,Low,Close,Adj Close,Volume
1/2/1990,353.4,359.69,351.98,359.69,359.69,162070000
1/3/1990,359.69,360.59,357.89,358.76,358.76,192330000
1/4/1990,358.76,358.76,352.89,355.67,355.67,177000000
1/5/1990,355.67,355.67,351.35,352.2,352.2,158530000
1/8/1990,352.2,354.24,350.54,353.79,353.79,140110000
1/9/1990,353.83,354.17,349.61,349.62,349.62,155210000
1/10/1990,349.62,349.62,344.32,347.31,347.31,175990000
1/11/1990,347.31,350.14,347.31,348.53,348.53,154390000
1/12/1990,348.53,348.53,339.49,339.93,339.93,183880000
1/15/1990,339.93,339.94,336.57,337,337,140590000
1/16/1990,337,340.75,333.37,340.75,340.75,186070000
1/17/1990,340.77,342.01,336.26,337.4,337.4,170470000
1/18/1990,337.4,338.38,333.98,338.19,338.19,178590000
1/19/1990,338.19,340.48,338.19,339.15,339.15,185590000
1/22/1990,339.14,339.96,330.28,330.38,330.38,148380000
1/23/1990,330.38,332.76,328.67,331.61,331.61,179300000
1/24/1990,331.61,331.71,324.17,330.26,330.26,207830000
1/25/1990,330.26,332.33,325.33,326.08,326.08,172270000
1/26/1990,326.09,328.58,321.44,325.8,325.8,198190000
1/29/1990,325.8,327.31,321.79,325.2,325.2,150770000
1/30/1990,325.2,325.73,319.83,322.98,322.98,186030000
1/31/1990,322.98,329.08,322.98,329.08,329.08,189660000
2/1/1990,329.08,329.86,327.76,328.79,328.79,154580000
2/2/1990,328.79,332.1,328.09,330.92,330.92,164400000
2/5/1990,330.92,332.16,330.45,331.85,331.85,130950000
2/6/1990,331.85,331.86,328.2,329.66,329.66,134070000
2/7/1990,329.66,333.76,326.55,333.75,333.75,186710000
2/8/1990,333.75,336.09,332,332.96,332.96,176240000
2/9/1990,333.02,334.6,332.41,333.62,333.62,146910000
2/12/1990,333.62,333.62,329.97,330.08,330.08,118390000
2/13/1990,330.08,331.61,327.92,331.02,331.02,144490000
2/14/1990,331.02,333.2,330.64,332.01,332.01,138530000
2/15/1990,332.01,335.21,331.61,334.89,334.89,174620000
2/16/1990,334.89,335.64,332.42,332.72,332.72,166840000
2/20/1990,332.72,332.72,326.26,327.99,327.99,147300000
2/21/1990,327.91,328.17,324.47,327.67,327.67,159240000
2/22/1990,327.67,330.98,325.7,325.7,325.7,184320000
2/23/1990,325.7,326.15,322.1,324.15,324.15,148490000
2/26/1990,324.16,328.67,323.98,328.67,328.67,148900000
2/27/1990,328.68,331.94,328.47,330.26,330.26,152590000
2/28/1990,330.26,333.48,330.16,331.89,331.89,184400000
3/1/1990,331.89,334.4,331.08,332.74,332.74,157930000
3/2/1990,332.74,335.54,332.72,335.54,335.54,164330000
3/5/1990,335.54,336.38,333.49,333.74,333.74,140110000
3/6/1990,333.74,337.93,333.57,337.93,337.93,143640000
3/7/1990,337.93,338.84,336.33,336.95,336.95,163580000
3/8/1990,336.95,340.66,336.95,340.27,340.27,170900000
3/9/1990,340.12,340.27,336.84,337.93,337.93,150410000
3/12/1990,337.93,339.08,336.14,338.67,338.67,114790000
3/13/1990,338.67,338.67,335.36,336,336,145440000
3/14/1990,336,337.63,334.93,336.87,336.87,145060000
3/15/1990,336.87,338.91,336.87,338.07,338.07,144410000
3/16/1990,338.07,341.91,338.07,341.91,341.91,222520000
3/19/1990,341.91,343.76,339.12,343.53,343.53,142300000
3/20/1990,343.53,344.49,340.87,341.57,341.57,177320000
3/21/1990,341.57,342.34,339.56,339.74,339.74,130990000
3/22/1990,339.74,339.77,333.62,335.69,335.69,175930000
3/23/1990,335.69,337.58,335.69,337.22,337.22,132070000
3/26/1990,337.22,339.74,337.22,337.63,337.63,116110000
3/27/1990,337.63,341.5,337.03,341.5,341.5,131610000
3/28/1990,341.5,342.58,340.6,342,342,142300000
3/29/1990,342,342.07,339.77,340.79,340.79,132190000
3/30/1990,340.79,341.41,338.21,339.94,339.94,139340000
4/2/1990,339.94,339.94,336.33,338.7,338.7,124360000
4/3/1990,338.7,343.76,338.7,343.64,343.64,154310000
4/4/1990,343.64,344.12,340.4,341.09,341.09,159530000
4/5/1990,341.09,342.85,340.63,340.73,340.73,144170000
4/6/1990,340.73,341.73,338.94,340.08,340.08,137490000
4/9/1990,340.08,341.83,339.88,341.37,341.37,114970000
4/10/1990,341.37,342.41,340.62,342.07,342.07,136020000
4/11/1990,342.07,343,341.26,341.92,341.92,141080000
4/12/1990,341.92,344.79,341.91,344.34,344.34,142470000
4/16/1990,344.34,347.3,344.1,344.74,344.74,142810000
4/17/1990,344.74,345.19,342.06,344.68,344.68,127990000
4/18/1990,344.68,345.33,340.11,340.72,340.72,147130000
4/19/1990,340.72,340.72,337.59,338.09,338.09,152930000
4/20/1990,338.09,338.52,333.41,335.12,335.12,174260000
4/23/1990,335.12,335.12,330.09,331.05,331.05,136150000
4/24/1990,331.05,332.97,329.71,330.36,330.36,137360000
4/25/1990,330.36,332.74,330.36,332.03,332.03,133480000
4/26/1990,332.03,333.76,330.67,332.92,332.92,141330000
4/27/1990,332.92,333.57,328.71,329.11,329.11,130630000
4/30/1990,329.11,331.31,327.76,330.8,330.8,122750000
5/1/1990,330.8,332.83,330.8,332.25,332.25,149020000
5/2/1990,332.25,334.48,332.15,334.48,334.48,141610000
5/3/1990,334.48,337.02,334.47,335.57,335.57,145560000
5/4/1990,335.58,338.46,335.17,338.39,338.39,140550000
5/7/1990,338.39,341.07,338.11,340.53,340.53,132760000
5/8/1990,340.53,342.03,340.17,342.01,342.01,144230000
5/9/1990,342.01,343.08,340.9,342.86,342.86,152220000
5/10/1990,342.87,344.98,342.77,343.82,343.82,158460000
5/11/1990,343.82,352.31,343.82,352,352,234040000
5/14/1990,352,358.41,351.95,354.75,354.75,225410000
5/15/1990,354.75,355.09,352.84,354.28,354.28,165730000
5/16/1990,354.27,354.68,351.95,354,354,159810000
5/17/1990,354,356.92,354,354.47,354.47,164770000
5/18/1990,354.47,354.64,352.52,354.64,354.64,162520000
5/21/1990,354.64,359.07,353.78,358,358,166280000
5/22/1990,358,360.5,356.09,358.43,358.43,203350000
5/23/1990,358.43,359.29,356.99,359.29,359.29,172330000
5/24/1990,359.29,359.56,357.87,358.41,358.41,155140000
5/25/1990,358.41,358.41,354.32,354.58,354.58,120250000
5/29/1990,354.58,360.65,354.55,360.65,360.65,137410000
5/30/1990,360.65,362.26,360,360.86,360.86,199540000
5/31/1990,360.86,361.84,360.23,361.23,361.23,165690000
6/1/1990,361.26,363.52,361.21,363.16,363.16,187860000
6/4/1990,363.16,367.85,362.43,367.4,367.4,175520000
6/5/1990,367.4,368.78,365.49,366.64,366.64,199720000
6/6/1990,366.64,366.64,364.42,364.96,364.96,164030000
6/7/1990,365.92,365.92,361.6,363.15,363.15,160360000
6/8/1990,363.15,363.49,357.68,358.71,358.71,142600000
6/11/1990,358.71,361.63,357.7,361.63,361.63,119550000
6/12/1990,361.63,367.27,361.15,366.25,366.25,157100000
6/13/1990,366.25,367.09,364.51,364.9,364.9,158910000
6/14/1990,364.9,364.9,361.64,362.9,362.9,135770000
6/15/1990,362.89,363.14,360.71,362.91,362.91,205130000
6/18/1990,362.91,362.91,356.88,356.88,356.88,133470000
6/19/1990,356.88,358.9,356.18,358.47,358.47,134930000
6/20/1990,358.47,359.91,357,359.1,359.1,137420000
6/21/1990,359.1,360.88,357.63,360.47,360.47,138570000
6/22/1990,360.52,363.2,355.31,355.43,355.43,172570000
6/25/1990,355.42,356.41,351.91,352.31,352.31,133100000
6/26/1990,352.32,356.09,351.85,352.06,352.06,141420000
6/27/1990,352.06,355.89,351.23,355.14,355.14,146620000
6/28/1990,355.16,357.63,355.16,357.63,357.63,136120000
6/29/1990,357.64,359.09,357.3,358.02,358.02,145510000
7/2/1990,358.02,359.58,357.54,359.54,359.54,130200000
7/3/1990,359.54,360.73,359.44,360.16,360.16,130050000
7/5/1990,360.16,360.16,354.86,355.68,355.68,128320000
7/6/1990,355.69,359.02,354.64,358.42,358.42,111730000
7/9/1990,358.42,360.05,358.11,359.52,359.52,119390000
7/10/1990,359.52,359.74,356.41,356.49,356.49,147630000
7/11/1990,356.49,361.23,356.49,361.23,361.23,162220000
7/12/1990,361.23,365.46,360.57,365.44,365.44,213180000
7/13/1990,365.45,369.68,365.45,367.31,367.31,215600000
7/16/1990,367.31,369.78,367.31,368.95,368.95,149430000
7/17/1990,368.95,369.4,364.99,367.52,367.52,176790000
7/18/1990,367.52,367.52,362.95,364.22,364.22,168760000
7/19/1990,364.22,365.32,361.29,365.32,365.32,161990000
7/20/1990,365.32,366.64,361.58,361.61,361.61,177810000
