Date,1 mo,2 mo,3 mo,6 mo,1 yr,2 yr,3 yr,5 yr,7 yr,10 yr,20 yr,30 yr
1/2/1990,N/A,N/A,7.83,7.89,7.8,7.9,7.9,7.9,8,7.94,N/A,8
1/3/1990,N/A,N/A,7.89,7.94,7.9,7.9,8,7.9,8,7.99,N/A,8.04
1/4/1990,N/A,N/A,7.84,7.9,7.8,7.9,7.9,7.9,8,7.98,N/A,8.04
1/5/1990,N/A,N/A,7.79,7.85,7.8,7.9,7.9,7.9,8,7.99,N/A,8.06
1/8/1990,N/A,N/A,7.79,7.88,7.8,7.9,8,7.9,8.1,8.02,N/A,8.09
1/9/1990,N/A,N/A,7.8,7.82,7.8,7.9,7.9,7.9,8.1,8.02,N/A,8.1
1/10/1990,N/A,N/A,7.75,7.78,7.8,7.9,8,7.9,8,8.03,N/A,8.11
1/11/1990,N/A,N/A,7.8,7.8,7.8,7.9,8,7.9,8,8.04,N/A,8.11
1/12/1990,N/A,N/A,7.74,7.81,7.8,7.9,8,8,8.1,8.1,N/A,8.17
1/16/1990,N/A,N/A,7.89,7.99,7.9,8.1,8.1,8.1,8.2,8.2,N/A,8.25
1/17/1990,N/A,N/A,7.97,7.97,7.9,8.1,8.1,8.1,8.2,8.19,N/A,8.25
1/18/1990,N/A,N/A,8.04,8.08,8.1,8.3,8.3,8.3,8.3,8.32,N/A,8.35
1/19/1990,N/A,N/A,8,8.01,8,8.2,8.2,8.2,8.2,8.26,N/A,8.29
1/22/1990,N/A,N/A,7.99,7.99,8,8.2,8.2,8.2,8.3,8.27,N/A,8.31
1/23/1990,N/A,N/A,7.93,7.97,8,8.2,8.2,8.2,8.2,8.26,N/A,8.29
1/24/1990,N/A,N/A,7.93,7.99,8,8.2,8.3,8.3,8.3,8.38,N/A,8.41
1/25/1990,N/A,N/A,7.95,8.01,8,8.2,8.3,8.3,8.4,8.42,N/A,8.46
1/26/1990,N/A,N/A,7.93,8.04,8.1,8.3,8.4,8.4,8.5,8.49,N/A,8.55
1/29/1990,N/A,N/A,8,8.09,8.1,8.3,8.4,8.4,8.5,8.5,N/A,8.54
1/30/1990,N/A,N/A,8,8.14,8.1,8.3,8.4,8.4,8.5,8.51,N/A,8.55
1/31/1990,N/A,N/A,8,8.13,8.1,8.3,8.4,8.4,8.4,8.43,N/A,8.46
2/1/1990,N/A,N/A,8.02,8.13,8.1,8.3,8.4,8.4,8.4,8.42,N/A,8.44
2/2/1990,N/A,N/A,8.07,8.17,8.1,8.4,8.4,8.4,8.5,8.5,N/A,8.51
2/5/1990,N/A,N/A,8.08,8.18,8.2,8.4,8.4,8.4,8.5,8.53,N/A,8.53
2/6/1990,N/A,N/A,8.09,8.17,8.2,8.4,8.4,8.5,8.5,8.57,N/A,8.58
2/7/1990,N/A,N/A,8.08,8.19,8.2,8.4,8.4,8.5,8.5,8.52,N/A,8.57
2/8/1990,N/A,N/A,8.08,8.18,8.1,8.4,8.4,8.5,8.5,8.49,N/A,8.5
2/9/1990,N/A,N/A,8.02,8.09,8,8.3,8.2,8.3,8.3,8.31,N/A,8.36
2/12/1990,N/A,N/A,7.99,8.11,8.1,8.3,8.3,8.4,8.4,8.4,N/A,8.43
2/13/1990,N/A,N/A,7.84,7.97,8,8.2,8.2,8.3,8.4,8.35,N/A,8.39
2/14/1990,N/A,N/A,7.87,8,8,8.3,8.3,8.3,8.4,8.36,N/A,8.41
2/15/1990,N/A,N/A,7.97,8.08,8.1,8.4,8.4,8.4,8.4,8.43,N/A,8.47
2/16/1990,N/A,N/A,7.94,8.07,8.1,8.4,8.3,8.4,8.4,8.42,N/A,8.46
2/20/1990,N/A,N/A,8.06,8.2,8.2,8.5,8.5,8.6,8.6,8.62,N/A,8.66
2/21/1990,N/A,N/A,8.01,8.19,8.2,8.5,8.5,8.6,8.6,8.62,N/A,8.66
2/22/1990,N/A,N/A,7.99,8.15,8.2,8.5,8.5,8.5,8.6,8.54,N/A,8.56
2/23/1990,N/A,N/A,7.93,8.09,8.1,8.4,8.5,8.5,8.6,8.53,N/A,8.56
2/26/1990,N/A,N/A,7.97,8.09,8.1,8.4,8.4,8.4,8.5,8.46,N/A,8.49
2/27/1990,N/A,N/A,7.99,8.1,8.1,8.3,8.3,8.3,8.4,8.41,N/A,8.45
2/28/1990,N/A,N/A,8.04,8.14,8.1,8.4,8.5,8.4,8.5,8.51,N/A,8.54
3/1/1990,N/A,N/A,8.08,8.19,8.2,8.5,8.5,8.5,8.6,8.59,N/A,8.61
3/2/1990,N/A,N/A,8.02,8.17,8.2,8.5,8.5,8.5,8.6,8.54,N/A,8.55
